Model,Parameter,CI95
Immune MP,r,"(1.2969778888599457, 1.8107565694711318)"
Immune MP,p,"(0.0005042007131412712, 0.0013561260560351434)"
Immune MP,q,"(0.0012743074539069896, 0.0037187991882401965)"
Immune MPB1,r,"(2.0035646667512848, 2.0571880519928034)"
Immune MPB1,p,"(0.00024998308979863, 0.0002749604094342614)"
Immune MPB1,q,"(0.0007375441477759687, 0.0008134040622197606)"
