Model,Parameter,CI95
Logistic MPB1,r,"(0.3860094612836553, 0.46009550616700656)"
Logistic MPB1,K,"(1760.8538633989629, 2866.72992445353)"
Logistic MPB1 + CIS,r,"(0.2921346286478285, 0.3630760055687985)"
Logistic MPB1 + CIS,K,"(807.4482253206111, 1149.6748277966144)"
Logistic MPB1 + ICB,r,"(0.2742088123799415, 0.3215516579617661)"
Logistic MPB1 + ICB,K,"(2894.3340959360403, Inf)"
Logistic MPB1 + CIS + ICB,r,"(0.2587702829217651, 0.3430308217023537)"
Logistic MPB1 + CIS + ICB,K,"(497.12953201409823, 729.8593713731237)"
