Model,Parameter,CI95
Cis PKPD MP,r1,"(-Inf, 10.40686235319628)"
Cis PKPD MP,r2,"(-Inf, 88.19882)"
Cis PKPD MPB1,r1,"(64.71564401863697, 68.16199989420538)"
Cis PKPD MPB1,r2,"(76.98236478566572, 112.56910212223183)"
