Model,Parameter,CI95
Logistic MP,r,"(0.29755889310141836, 0.3125162030747149)"
Logistic MP,K,"(1498.867176895276, 1692.397848513529)"
Logistic MP + CIS,r,"(0.3347184924327119, 0.3754841225316673)"
Logistic MP + CIS,K,"(943.7406148660291, 1094.1113029643182)"
Logistic MP + ICB,r,"(0.33005963340684574, 0.4252966080200258)"
Logistic MP + ICB,K,"(1114.9228713769337, 1672.0550327383548)"
Logistic MP + CIS + ICB,r,"(0.30760046957371073, 0.32623523941806903)"
Logistic MP + CIS + ICB,K,"(1007.3821524257074, 1107.1177348293002)"
