Proportion of NK cells (cisplatin),Proportion of T cells (cisplatin),Time (days)
12.17830882,19.15285451,10
13.09742647,19.59484346,10
14.93566176,32.85451197,10
15.07352941,35.80110497,10
20.40441176,36.1694291,10
