Proportion of NK cells (vehicle),Proportion of T cells (vehicle),Time (days)
2.481617647,7.071823204,10
5.698529412,10.16574586,10
6.25,12.37569061,10
6.617647059,12.30202578,10
10.38602941,13.03867403,10
11.07536765,17.45856354,10
