Dataset,k2N,k2E,k2N_stderr,k2E_stderr,prop_cd45_cells,prop_cd8cells_in_t_cells
MP,9.134435489507837,0.0,26.465459477314567,437.812383972364,0.6,0.3
MPB1,66.53196670981491,97.13863064437315,0.895868185741373,8.966282529689396,0.6,0.3
