Dataset,r,pN,q,r_stderr,pN_stderr,q_stderr,timeshift,nk_cells_at_treatment_initiation,t_cells_at_shift_at_treatment_initiation,prop_cd45_cells,prop_cd8cells_in_t_cells
MP,1.7186322279318669,0.0008426907030353158,0.0022142096501498783,1024.1938112507394,17.868349261569634,49.34599538404773,43.40522297376962,390170.6598605333,127668.33897674564,0.6,0.3
MPB1,1.767033722723059,0.0005494286430813454,0.001634916984419035,940.5221876443137,8.883465099302468,26.708819234527287,29.936943315275265,421261.9208483155,56770.83466392588,0.6,0.3
