Dataset,r,r_stderr,k,k_stderr
MP Cisplatin,0.3551013074821896,0.011062290974534619,1012.5972262511042,40.951208996220615
MPB1 Cisplatin,0.3269187876542396,0.018907723481603522,938.8932852565246,84.49780406273644
