Dataset,r,r_stderr,k,k_stderr
MP ICB,0.3758365217568273,0.024404527293425075,1317.0973081830286,128.95153287618524
MPB1 ICB,0.29663437081343735,0.013787651741753063,5140.913136653713,2386.228547393828
