Dataset,r,r_stderr,k,k_stderr
MP Cisplatin + ICB,0.3169178544958899,0.0049648352353472034,1055.4029883978076,26.1237577076018
MPB1 Cisplatin + ICB,0.2994333289999596,0.022526962329953465,581.0982256155444,57.05773886328276
