Dataset,r,pN,q,r_stderr,pN_stderr,q_stderr,prop_cd45_cells,prop_cd8cells_in_t_cells
MP,1.5663984164975189,0.000749406529639226,0.0020023687207840818,0.11047905778124587,0.0001625506578146746,0.0004911295259414163,0.6,0.3
MPB1,2.0311888349060068,0.00026236680289528757,0.0007740807596305297,0.015367433409782614,7.34064382142972e-6,2.204614117959009e-5,0.6,0.3
