Model,N,AICc,ΔAICc,BIC,ΔBIC,RSS
Logistic,2,42.98889039034078,0.0,36.20776621520898,0.0,3667.3183916757876
Immune cells,1,54.93819475598186,11.949304365641083,53.21429933508263,17.00653311987365,151813.82247773695
