Model,N,AICc,ΔAICc,BIC,ΔBIC,RSS
Logistic,2,40.841039274971905,0.0,34.05991509984011,0.0,2386.649473520597
Immune cells,1,49.3491837760342,8.508144501062297,47.62528835513497,13.565373255294858,49642.76808576623
