Model,N,AICc,ΔAICc,BIC,ΔBIC,RSS
Exponential,1,50.85981760074161,10.02664208602944,49.135922179842375,15.083870840262009,67153.39545605065
Logistic,2,46.07852354021094,5.245348025498771,39.29739936507914,5.245348025498771,6803.160893745305
Gompertz,2,40.83317551471217,0.0,34.052051339580366,0.0,2382.898815864218
